secondhand_item_id,seller_user_id,secondhand_item_name,size,description,status,date_listed
1,1,Blue Floral Dress,S,Gently worn blue floral dress in excellent condition. Beautiful and perfect for any occasion.,Listed,2023-11-18 12:30
2,2,Red Heels Brand New,7,"Brand new red high heels in their original packaging. Never worn, in perfect condition.",Listed,2023-11-19 14:45
3,3,Leather Jacket,L,Genuine leather jacket in perfect condition. Stylish and versatile for any season.,Sold,2023-11-20 10:20
4,4,Skinny Jeans Dark Blue,S,"Dark blue skinny fit jeans, gently worn and in great condition. Stylish and comfortable.",Listed,2023-11-21 8:15
5,5,Aviator Sunglasses,O/S,Classic aviator sunglasses in excellent condition. Timeless style for any sunny day.,Listed,2023-11-22 16:55
6,6,Straw Hat,L,Stylish straw hat for summer. Gently used and perfect for adding a chic touch to your look.,Listed,2023-11-23 11:10
7,7,Silk Blouse,M,Elegant and comfortable silk blouse in like-new condition. Perfect for both casual and formal wear.,Listed,2023-11-24 9:30
8,8,Leather Wristwatch Strap,S,Leather strap wristwatch in great condition. Classic and stylish for everyday wear.,Listed,2023-11-25 13:20
9,9,Cashmere Sweater,L,Soft cashmere sweater in excellent condition. Warm and cozy for the upcoming seasons.,Listed,2023-11-26 15:40
10,10,Leather Shoulder Bag,O/S,Versatile and spacious leather shoulder bag. Lightly used and in perfect condition.,Sold,2023-11-27 17:25
11,11,Wool Scarf Perfect,O/S,Perfect wool scarf for winter. Gently worn and in excellent condition.,Listed,2023-11-28 19:05
12,12,Denim Shorts,S,Casual and stylish denim shorts in great condition. Perfect for a laid-back summer look.,Listed,2023-11-29 20:45
13,13,Silk Tie,O/S,Classic and sophisticated silk tie in like-new condition. Elevate your style effortlessly.,Listed,2023-11-30 22:00
14,14,Cotton Button Down,L,Comfortable cotton button-down shirt in excellent condition. Versatile for any occasion.,Listed,2023-12-01 9:15
15,15,Leather Belt,S,Durable and stylish genuine leather belt in great condition. A timeless accessory.,Listed,2023-12-02 11:35
16,16,Wool Gloves,M,Warm wool gloves for cold weather. Lightly used and in excellent condition.,Sold,2023-12-03 14:10
17,17,Gold Hoop Earrings New,O/S,"Trendy and chic gold hoop earrings, brand new and ready to elevate your style.",Listed,2023-12-04 16:30
18,18,Canvas Backpack,O/S,"Canvas backpack in great condition, perfect for outdoor activities and daily use.",Sold,2023-12-05 18:45
19,19,Crew Neck Sweatshirt,M,Cozy and casual crew neck sweatshirt in excellent condition. Perfect for chilly days.,Listed,2023-12-05 12:00
20,20,Pearl Pendant Necklace,O/S,Elegant pearl pendant necklace in like-new condition. Timeless and perfect for any outfit.,Listed,2023-12-05 15:20
21,21,Leather Ankle Boots,6,Fashionable and durable leather ankle boots in excellent condition. Ready to make a statement.,Listed,2023-12-05 19:00
22,22,Tweed Suit Blazer,XS,Classic and stylish tweed suit blazer in excellent condition. Perfect for a polished look.,Listed,2023-12-05 21:30
23,23,Sterling Silver Ring,5.5,Beautiful sterling silver ring in great condition. A timeless accessory for any occasion.,Listed,2023-12-05 23:45
24,24,Green Plaid Shirt,XL,Trendy and versatile green plaid shirt in great condition. A stylish addition to your wardrobe.,Sold,2023-12-05 10:45
